epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,97.2415,0.79958,0.74408,0.99212,0.98231,0.33333,0.48388,0.24877,1.92696,1.74298,1.70431,0.0002378,0.0002378,0.0002378
91,98.1456,0.63534,0.69378,0.92215,0.98231,0.33333,0.48388,0.24877,1.92696,1.74298,1.70431,0.000218,0.000218,0.000218
92,99.0813,0.68086,0.92421,0.96683,0.98145,0.33333,0.47548,0.2458,1.93284,1.73957,1.68371,0.0001982,0.0001982,0.0001982
93,99.9016,0.58818,0.74378,0.90631,0.98145,0.33333,0.47548,0.2458,1.93284,1.73957,1.68371,0.0001784,0.0001784,0.0001784
94,100.83,0.59467,0.69608,0.92449,0.98076,0.33333,0.47257,0.24437,1.95866,1.74976,1.68093,0.0001586,0.0001586,0.0001586
95,101.704,0.5214,0.65239,0.88937,0.98076,0.33333,0.47257,0.24437,1.95866,1.74976,1.68093,0.0001388,0.0001388,0.0001388
96,102.625,0.60438,0.69381,0.89776,0.98139,0.33333,0.46364,0.23733,1.96603,1.76249,1.66763,0.000119,0.000119,0.000119
97,103.483,0.54553,0.70456,0.8942,0.98139,0.33333,0.46364,0.23733,1.96603,1.76249,1.66763,9.92e-05,9.92e-05,9.92e-05
98,104.559,0.63579,0.7739,0.93446,0.98101,0.33333,0.4514,0.22603,1.94509,1.75961,1.64715,7.94e-05,7.94e-05,7.94e-05
99,105.473,0.61769,0.67832,0.91818,0.98101,0.33333,0.4514,0.22603,1.94509,1.75961,1.64715,5.96e-05,5.96e-05,5.96e-05
100,106.422,0.62303,0.64408,0.85615,0.98185,0.33333,0.44697,0.22447,1.95463,1.73629,1.64683,3.98e-05,3.98e-05,3.98e-05
